ID,Nama,Nominal,JAN'26,FEB'26,MAR'26,APR'26,MAY'26,JUN'26,JUL'26,AUG'26,SEP'26,OKT'26,NOV'26,DES'26,JAN'27,FEB'27,MAR'27,APR'27,MEI'27,JUN'27,JUL'27,AUG'27,SEP'27,OKT'27,NOV'27
No,Nama,Nominal,JAN'26,FEB'26,MAR'26,APR'26,MAY'26,JUN'26,JUL'26,AUG'26,SEP'26,OKT'26,NOV'26,DES'26,JAN'27,FEB'27,MAR'27,APR'27,MEI'27,JUN'27,JUL'27,AUG'27,SEP'27,OKT'27,NOV'27
100,Sugeng,Rp150.000,,,,,,Rp150.000,Rp150.000,,,Rp150.000,,,Rp150.000,,,,Rp150.000,,,,,,
101,Peyek,Rp150.000,Rp150.000,,,,Rp150.000,,,,,,Rp150.000,,Rp150.000,Rp150.000,,,,,Rp150.000,Rp150.000,Rp150.000,,
102,Pak mul,Rp115.000,,,,,,,,,,,,,,,,,,Rp115.000,,,,,Rp115.000
103,Yuli,Rp115.000,,Rp115.000,,,,Rp115.000,,,,,,,Rp115.000,,Rp115.000,,,,,Rp115.000,,Rp115.000,
104,Indah,Rp150.000,Rp150.000,,,,,,,,,,,Rp150.000,,,Rp150.000,,,,Rp150.000,,Rp150.000,,
105,Wati 74,Rp100.000,,,Rp100.000,,Rp100.000,Rp100.000,Rp100.000,,,,Rp100.000,Rp100.000,,,,Rp100.000,,Rp100.000,,,,,Rp100.000
106,Bambang 42,Rp50.000,,Rp50.000,,Rp50.000,,,,Rp50.000,,,Rp50.000,,,Rp50.000,,,,,,Rp50.000,Rp50.000,,
107,Budi 64,Rp115.000,,,Rp115.000,,Rp115.000,,,,Rp115.000,,,Rp115.000,,,,Rp115.000,,,,Rp115.000,,,
108,Eka 77,Rp100.000,,Rp100.000,Rp100.000,,,,,,,Rp100.000,Rp100.000,Rp100.000,,,Rp100.000,,,,,,,Rp100.000,Rp100.000
109,Eka 72,Rp50.000,,Rp50.000,,Rp50.000,,Rp50.000,,,,Rp50.000,,,Rp50.000,,,Rp50.000,,Rp50.000,,,Rp50.000,,Rp50.000
110,Indah 2,Rp50.000,,,,Rp50.000,Rp50.000,,Rp50.000,Rp50.000,Rp50.000,,,,Rp50.000,,Rp50.000,,,Rp50.000,,,,Rp50.000,
111,Andi 44,Rp100.000,Rp100.000,,,,Rp100.000,,Rp100.000,,,,,,Rp100.000,Rp100.000,,,,,,,Rp100.000,,
112,Indah 34,Rp150.000,Rp150.000,Rp150.000,,,,,,Rp150.000,,,Rp150.000,Rp150.000,,,,,Rp150.000,,,Rp150.000,,,
113,Sutrisno 34,Rp100.000,,,Rp100.000,,,,,,Rp100.000,,,,,,Rp100.000,,,,,Rp100.000,Rp100.000,,
114,Gita 90,Rp100.000,,,,,Rp100.000,,Rp100.000,,,,Rp100.000,,,Rp100.000,,,,Rp100.000,,Rp100.000,,,
115,Andi 88,Rp50.000,Rp50.000,Rp50.000,,Rp50.000,,,,,,,,Rp50.000,,,Rp50.000,,Rp50.000,,Rp50.000,,,Rp50.000,
116,Andi 85,Rp50.000,,Rp50.000,,Rp50.000,Rp50.000,Rp50.000,Rp50.000,Rp50.000,,Rp50.000,Rp50.000,,Rp50.000,,,,Rp50.000,Rp50.000,,,,Rp50.000,
117,Lilik 55,Rp100.000,,,,,,,,,,,,,,,,,Rp100.000,Rp100.000,,,,Rp100.000,Rp100.000
118,Bambang 28,Rp50.000,,,,,Rp50.000,,Rp50.000,,,,,,,,Rp50.000,,,Rp50.000,,Rp50.000,,,Rp50.000
119,Heri 50,Rp50.000,,,Rp50.000,Rp50.000,,,,,,,,,Rp50.000,,,,,,,,Rp50.000,,
120,Johan 74,Rp50.000,,,Rp50.000,,,,,Rp50.000,,,,,,,,,,,,,Rp50.000,Rp50.000,Rp50.000
121,Agus 91,Rp150.000,150000,Rp150.000,,150000,Rp150.000,150000,Rp150.000,Rp150.000,,,Rp150.000,,Rp150.000,,Rp150.000,,,Rp150.000,,Rp150.000,,Rp150.000,Rp150.000
122,Budi 55,Rp50.000,Rp50.000,,Rp50.000,,Rp50.000,,,,Rp50.000,Rp50.000,,,,Rp50.000,,,Rp50.000,,Rp50.000,,,Rp50.000,
123,Sugeng 54,Rp100.000,,,,Rp100.000,,,,,,,,Rp100.000,,,,,,,Rp100.000,,,,
124,Wati 61,Rp150.000,Rp150.000,,,Rp150.000,Rp150.000,,Rp150.000,Rp150.000,,,,,,,Rp150.000,Rp150.000,,,,,Rp150.000,Rp150.000,
125,Wati 48,Rp100.000,,Rp100.000,Rp100.000,,,Rp100.000,,,Rp100.000,,,,Rp100.000,,,,,,,Rp100.000,,,Rp100.000
126,Indah 100,Rp50.000,,Rp50.000,Rp50.000,,Rp50.000,Rp50.000,Rp50.000,,,,Rp50.000,Rp50.000,,,,,,Rp50.000,,,,Rp50.000,
127,Gita 17,Rp150.000,Rp150.000,,,,,Rp150.000,Rp150.000,,,,,,Rp150.000,,,,Rp150.000,Rp150.000,Rp150.000,,Rp150.000,Rp150.000,
128,Dedi 56,Rp150.000,,Rp150.000,,,,,,,,,,,Rp150.000,,,,Rp150.000,Rp150.000,,,,,
129,Wati 34,Rp115.000,Rp115.000,,,Rp115.000,,,,,,Rp115.000,,Rp115.000,Rp115.000,Rp115.000,Rp115.000,,,,,,,Rp115.000,
130,Heri 63,Rp150.000,Rp150.000,,Rp150.000,,,,Rp150.000,Rp150.000,,,Rp150.000,,Rp150.000,,Rp150.000,Rp150.000,,Rp150.000,,,,,Rp150.000
131,Sutrisno 88,Rp50.000,Rp50.000,Rp50.000,,Rp50.000,,Rp50.000,,Rp50.000,,,,Rp50.000,,Rp50.000,,,Rp50.000,,Rp50.000,,,Rp50.000,
132,Heri 9,Rp115.000,,,,,,,,Rp115.000,Rp115.000,,,,,,,Rp115.000,Rp115.000,,,,Rp115.000,,
133,Sugeng 45,Rp115.000,Rp115.000,,,Rp115.000,,Rp115.000,Rp115.000,,,Rp115.000,,Rp115.000,,,,,,,,,,,Rp115.000
